Nombre,SiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O,MnO,TiO2
Peridotita,44.23,0.86,7.73,0.72,44.04,0.0,0.15,0.14,0.14
Peridotita,43.23,0.52,7.03,0.23,47.02,0.0,0.03,0.13,0.05
Peridotita,43.21,1.13,7.5,1.26,44.29,0.07,0.24,0.14,0.17
Peridotita,43.0,0.76,6.79,0.41,46.12,0.0,0.22,0.13,0.08
Peridotita,43.28,0.5,6.78,0.28,45.56,0.0,0.08,0.13,0.14
Peridotita,42.24,0.5,7.0,0.23,47.68,0.0,0.09,0.13,0.09
Peridotita,43.50391,3.278086,8.115142,2.092622,41.834352,0.186256,0.022022,0.12936,0.053382
Peridotita,41.617578,2.16174,8.419838,1.15549,45.47907,0.160804,0.025886,0.12915,0.100856
Peridotita,43.11865835,2.38303275,8.17974395,1.016267,44.2507506,0.11848795,0.01160915,0.13171865,0.0356167
Peridotita,43.081586,2.361366,8.056328,0.974008,44.167648,0.105518,0.009688,0.127526,0.05537
Peridotita,40.85455504,1.81092128,11.00615152,0.88626762,43.99510276,0.11753742,0.05499788,0.15758176,0.12096938
Peridotita,41.88068385,3.14739985,7.81232655,2.17335055,43.81133925,0.17307535,0.011193,0.12368265,0.06886565
Peridotita,43.97,3.64,9.21,1.74,40.01,0.08,0.0,0.151,0.098
Peridotita,45.12,2.24,8.15,1.94,42.68,0.05,0.02,0.13,0.04
Peridotita,46.11,2.52,7.37,1.85,41.7,0.0,0.0,0.12,0.02
Peridotita,44.32,2.45,7.65,2.77,41.82,0.06,0.0,0.12,0.02
Peridotita,43.37,3.24,9.27,2.36,39.87,0.15,0.0,0.142,0.051
Peridotita,44.08,3.1,7.83,2.56,40.94,0.09,0.01,0.12,0.03
Peridotita,44.28,2.46,9.78,2.24,40.06,0.1,0.0,0.15,0.03
Peridotita,45.14,2.73,8.78,2.16,40.58,0.22,0.05,0.14,0.18
Peridotita,43.08,2.18,10.54,2.94,41.14,0.09,0.0,0.16,0.1
Peridotita,45.26,1.87,7.32,1.2,44.14,0.08,0.0,0.106,0.008
Peridotita,44.94,2.48,7.7,2.6,40.81,0.12,0.007,0.12,0.03
Peridotita,43.82,1.98,7.65,1.6,40.27,0.05,0.01,0.12,0.02
Peridotita,44.7,3.69,7.89,3.31,39.3,0.36,0.06,0.13,0.123
Peridotita,43.4,3.42,7.79,2.97,39.7,0.28,0.02,0.13,0.106
Peridotita,44.7,3.35,8.01,2.73,40.8,0.27,0.03,0.13,0.113
Peridotita,43.6,2.37,7.9,2.12,42.7,0.26,0.07,0.13,0.033
Peridotita,44.3,3.33,8.75,2.78,40.0,0.34,0.04,0.14,0.159
Peridotita,42.8,2.55,8.12,2.35,41.6,0.23,0.02,0.13,0.075
Peridotita,43.6,3.13,8.55,2.34,39.4,0.23,0.01,0.14,0.11
Peridotita,44.5,3.11,8.14,2.45,40.8,0.27,0.02,0.13,0.135
Peridotita,44.1,3.18,8.13,2.9,41.2,0.27,0.01,0.13,0.093
Peridotita,44.3,2.97,8.53,2.31,41.4,0.26,0.03,0.14,0.099
Peridotita,45.2,4.61,8.42,3.77,37.5,0.39,0.02,0.14,0.15
Peridotita,43.5,2.52,7.97,2.0,41.4,0.2,0.01,0.13,0.078
Peridotita,43.13,8.47,11.37,6.76,29.3,0.8,0.05,0.16,0.27
Peridotita,42.34,7.4,12.27,7.11,28.68,0.72,0.05,0.17,0.41
Peridotita,41.43,7.74,11.07,4.75,33.05,0.65,0.04,0.15,0.16
Peridotita,41.41,5.15,13.18,4.12,36.28,0.44,0.02,0.18,0.14
Peridotita,41.21,4.88,13.38,4.14,35.8,0.47,0.03,0.18,0.21
Peridotita,40.2,6.48,13.28,4.84,32.95,0.53,0.03,0.17,0.3
Peridotita,41.17,5.73,13.38,4.26,35.11,0.47,0.02,0.18,0.17
Peridotita,40.15,4.47,12.17,3.56,37.52,0.33,0.01,0.16,0.13
Peridotita,35.1,8.49,14.69,2.89,34.03,0.31,0.01,0.17,0.25
Peridotita,41.24,5.26,14.49,4.61,34.1,0.47,0.02,0.2,0.24
Peridotita,43.25,1.72,7.18,1.71,40.21,0.15,0.01,0.12,0.01
Peridotita,44.53,2.42,6.77,2.67,36.76,0.35,0.04,0.11,0.02
Peridotita,43.58,2.2,7.28,2.07,38.77,0.25,0.05,0.12,0.02
Peridotita,44.89,13.89,12.51,10.65,7.93,2.95,1.33,0.19,3.65
Peridotita,58.16,0.84,4.35,0.24,35.4,0.1,0.02,0.14,0.0
Peridotita,57.21,0.69,7.66,0.35,33.2,0.1,0.01,0.13,0.08
Peridotita,42.58,2.46,10.98,7.43,26.86,0.01,0.01,0.17,0.32
Peridotita,44.22,1.52,9.28,9.24,26.31,0.58,0.02,0.19,0.26
Peridotita,34.92,1.36,11.69,0.27,35.88,0.01,0.01,0.14,0.14
Peridotita,34.4,1.48,13.97,0.27,34.22,0.01,0.01,0.16,0.15
Peridotita,36.31,0.84,13.35,0.49,35.27,0.01,0.01,0.12,0.1
Peridotita,34.75,0.8,11.7,0.11,36.08,0.01,0.01,0.19,0.09
Peridotita,41.74,2.83,11.38,7.6,27.17,0.01,0.04,0.19,0.31
Peridotita,37.1,3.22,13.75,2.57,30.92,0.01,0.02,0.2,0.24
Peridotita,38.98,4.77,10.59,4.02,30.44,0.01,0.03,0.16,0.22
Peridotita,38.7,2.31,11.81,2.91,31.98,0.01,0.15,0.13,0.56
Peridotita,40.82,5.18,11.04,4.23,29.46,0.01,0.05,0.17,0.24
Peridotita,39.69,4.51,12.94,4.56,27.17,0.01,0.09,0.19,0.35
Peridotita,39.86,4.52,12.17,4.41,27.82,0.2,0.14,0.18,0.44
Peridotita,41.12,4.03,15.17,5.84,23.97,0.19,0.29,0.17,0.6
Peridotita,39.69,4.13,11.26,2.78,29.36,0.22,0.18,0.17,0.35
Peridotita,44.0,0.67,7.61,0.6,45.2,0.19,0.06,0.12,0.08
Peridotita,44.76,2.73,7.6,2.6,39.01,0.27,0.02,0.12,0.04
Peridotita,43.37,0.96,7.15,1.11,42.33,0.02,0.01,0.13,0.0
Peridotita,43.45,2.54,7.24,3.15,35.59,0.3,0.04,0.11,0.1
Peridotita,46.04,2.51,7.14,2.2,37.76,0.1,0.01,0.12,0.01
Peridotita,45.21,3.67,7.71,3.25,37.8,0.36,0.01,0.13,0.06
Peridotita,45.0,2.54,7.79,2.4,39.11,0.14,0.0,0.12,0.02
Peridotita,43.22,0.81,7.04,0.55,44.89,0.02,0.0,0.11,0.0
Peridotita,45.61,2.0,7.27,1.86,40.93,0.13,0.01,0.12,0.01
Peridotita,43.19,1.91,8.18,2.35,42.37,0.21,0.02,0.12,0.01
Peridotita,44.68,2.71,8.12,2.42,39.88,0.24,0.0,0.12,0.09
Peridotita,43.46,1.22,8.12,0.72,45.34,0.13,0.01,0.12,0.02
Peridotita,43.84,3.84,8.29,2.52,39.53,0.38,0.03,0.11,0.15
Peridotita,44.03,2.99,8.39,1.94,41.51,0.21,0.01,0.11,0.08
Peridotita,42.37,2.45,9.16,2.35,41.8,0.23,0.02,0.13,0.11
Peridotita,44.89,2.63,7.73,2.98,40.34,0.31,0.01,0.1,0.11
Peridotita,44.08,1.91,7.84,2.01,43.0,0.28,0.03,0.11,0.07
Peridotita,43.65,1.22,7.79,1.45,44.44,0.11,0.01,0.11,0.08
Peridotita,44.69,3.5,7.89,3.16,39.26,0.21,0.0,0.13,0.11
Peridotita,43.55,0.68,7.95,0.68,45.87,0.05,0.0,0.13,0.0
Peridotita,41.64,3.26,14.35,1.96,36.66,0.11,0.18,0.21,0.21
Peridotita,44.65,2.87,8.04,4.25,37.74,0.2,0.01,0.13,0.17
Peridotita,44.5,3.23,8.83,3.16,38.59,0.24,0.0,0.14,0.11
Peridotita,44.1,2.58,8.17,2.36,41.68,0.18,0.0,0.13,0.09
Peridotita,44.71,1.81,7.65,1.63,42.8,0.04,0.0,0.12,0.0
Peridotita,44.54,2.91,8.03,2.89,39.78,0.19,0.0,0.13,0.09
Peridotita,43.21,1.56,8.54,1.2,43.88,0.12,0.0,0.13,0.07
Peridotita,44.46,3.49,9.03,3.16,38.53,0.29,0.02,0.14,0.16
Peridotita,44.38,2.98,7.53,2.48,40.92,0.25,0.0,0.12,0.12
Peridotita,44.18,6.64,20.15,4.48,20.64,0.82,0.05,0.28,0.33
Peridotita,38.33,1.22,17.01,1.92,39.56,0.02,0.0,0.248,0.082
Peridotita,38.58,3.33,14.81,2.81,38.13,0.12,0.0,0.215,0.066
Peridotita,38.37,0.89,15.28,1.54,42.15,0.01,0.0,0.222,0.043
Peridotita,40.06,1.09,14.87,3.25,37.46,0.09,0.02,0.216,0.117
Peridotita,43.41,4.39,12.31,9.49,28.95,0.23,0.0,0.198,0.171
Peridotita,44.06,1.12,7.49,0.85,44.84,0.07,0.0,0.12,0.04
Peridotita,44.96,3.16,7.99,2.97,39.23,0.22,0.0,0.13,0.09
Peridotita,49.06524744,2.13937416,8.33530698,0.15871086,39.18321792,0.0,0.0015246,0.1616076,0.05338872
Peridotita,46.34156576,2.0819414,7.6340138,0.16609432,40.8161768,0.0,0.0127596,0.1343874,0.0677082
Peridotita,40.842776,2.884812,9.004534,1.96371,40.92725,0.104398,0.024276,0.136136,0.077882
Peridotita,40.98545612,1.589805,8.30848899999999,0.69199564,46.08766148,0.0156408,0.13633564,0.11928168,0.04147556
Peridotita,33.863692,3.550344,11.372956,0.044492,42.786142,0.0,0.006888,0.147,0.066514
Peridotita,36.4826682,2.9253609,10.4349861,0.00906444,43.28724708,0.0,0.01047816,0.1426887,0.05153148
Peridotita,39.61,5.41,12.93,2.54,31.38,0.2,0.17,0.06,0.12
Peridotita,41.88,3.18,11.01,2.92,38.18,0.18,0.09,0.18,0.09
Peridotita,42.7,25.4,4.63,12.32,9.49,2.02,0.024,0.07,0.13
Peridotita,40.09,10.63,9.03,8.03,23.68,0.39,0.085,0.12,0.1
Peridotita,40.51,2.53,11.14,2.89,37.78,0.09,0.03,0.15,0.08
Peridotita,43.17,0.87,7.84,0.91,41.54,0.0,0.03,0.12,0.02
Peridotita,42.42,1.2,7.91,0.58,43.73,0.02,0.01,0.12,0.05
Peridotita,43.85,4.46,9.08,17.0,15.74,0.34,0.13,0.15,0.39
Peridotita,44.07,3.22,8.42,16.16,15.35,0.48,0.15,0.15,0.45
Peridotita,42.8596093596545,0.648927134851642,7.64550132683292,0.517113810584902,48.1220028438421,0.0365021513354048,0.0202789729641138,0.13181332426674,0.0101394864820569
Peridotita,43.4974545484,0.536630607789851,7.28845616436692,0.718882512322254,47.7196236700674,0.0364503809064805,0.0486005078753073,0.121501269688268,0.0202502116147114
Peridotita,42.4500506757568,0.453957290971734,7.86079304845718,0.342989953178643,48.533078374778,0.176538946489008,0.0191670856188065,0.11096733779309,0.0302638193981156
Peridotita,43.8832489537221,0.869481622626195,7.3725883622974,0.982002773789585,46.4200894526785,0.0695585298100956,0.0992231969349893,0.122750346723698,0.0920627600427736
Peridotita,46.4094441656338,1.19727031297437,6.72858407586246,0.882733196853988,44.5120751103269,0.0487025212057373,0.0811708686762288,0.121756303014343,0.0101463585845286
Peridotita,44.30165782762,1.20998330995795,7.02650933114726,0.396549152003025,46.7521282284592,0.0376213298054152,0.0955785135597034,0.111847196718802,0.0508396348721827
Peridotita,43.2653646037411,0.668582080039081,7.4013819145873,0.942092930964159,47.459197651259,0.0455851418208464,0.0536891670334413,0.131690409704667,0.0202600630314873
Peridotita,42.6942947633162,0.709375892103521,7.79633493851586,0.608036478945876,47.9740781888296,0.0405357652630584,0.0263482474209879,0.13174123710494,0.0101339413157646
Peridotita,44.0770069449925,0.862242334275586,7.35206118208825,0.20529579387514,47.2282973809759,0.0687740909481718,0.0687740909481718,0.123177476325084,0.010264789693757
Peridotita,46.9364628943286,1.62554946639038,8.83121153121852,3.86451382575827,37.7352394996661,0.121660620440538,0.343512340067402,0.214695212542126,0.245365957191001
Peridotita,43.4929119751753,1.27890237518158,8.91145723006689,3.91855687755637,41.8866105919472,0.0552485826078444,0.145283309820628,0.102312190014527,0.143237066020337
Peridotita,44.3338617297922,1.12808808472754,8.69255042215313,0.697363543286114,44.4774365769394,0.0748640274410093,0.163060004974253,0.0922981160231622,0.215362270720712
Peridotita,43.1991336130598,4.610224623637,9.03239706043082,0.654222562999486,41.6964661636704,0.0705333700733821,0.295422376104455,0.122666730562404,0.245333461124807
Peridotita,44.1821264975398,3.57845489618041,8.64481493266875,1.5790316733862,40.8907682692478,0.0707488217296414,0.255310965372184,0.420391549408014,0.266589763039228
Peridotita,45.6812342370801,1.874784899167,8.30560239615131,3.26806766576105,39.1041200006581,0.13113249567944,0.894364599438683,0.184405072049213,0.379054870323382
Peridotita,45.6867563558473,0.696569379416506,7.88996760624589,4.33307128666444,40.6878466917994,0.105509773646912,0.275554651563294,0.174142344854127,0.112680340787964
Peridotita,43.7456280044313,2.0024407185127,8.50078187608363,1.17065765082281,44.063964734041,0.0667480239504233,0.135549833253167,0.0821514140928287,0.133496047900847
Peridotita,45.0753383686064,0.909683699502487,8.25890996343235,0.306634954888479,45.1162230292582,0.0674596900754653,0.0981231855643132,0.071548156140645,0.0511058258147465
Peridotita,44.833998425719,1.18038228455991,8.94017847215915,0.4516245262664,44.2284109927709,0.0646644208063255,0.0523473882717873,0.0923777440090364,0.102641937787818
Peridotita,41.8409947395876,2.80102784794199,8.20734197211362,3.3345569618357,43.2466387511922,0.0851594547176501,0.1703189094353,0.102601752671868,0.184683154809362
Peridotita,43.9768250038407,1.0883827808562,8.28732229353137,0.616065725012944,45.2910985505349,0.143748669169687,0.279283128672535,0.11294538291904,0.123213145002589
Peridotita,42.4733277773222,1.50993450623128,8.2442588386841,0.606028135154053,46.7463397133236,0.0698473104923315,0.131477290338506,0.102716633076958,0.0719016431538707
Peridotita,44.2821097000448,1.55627298830215,8.10719935979844,0.563125094451436,45.2445416796527,0.0440261437480214,0.0440261437480214,0.0819091046474816,0.051193190404676
Peridotita,44.0405695869978,2.20151649876878,9.42551539600357,1.60761902468232,41.951688816073,0.113659689006202,0.250870484743419,0.143354562710525,0.194552620821427
Peridotita,44.1713743156984,0.877914996799183,7.48613430241538,0.694165346306331,46.27428698245,0.0806456799385296,0.2347912200742,0.112291453078965,0.0306249417488087
Peridotita,49.09,16.99,7.68,12.63,8.02,2.72,0.59,0.12,1.37
Peridotita,43.9,4.82,12.6,6.35,29.6,0.15,0.07,0.18,0.84
Peridotita,44.0,4.79,12.42,6.64,29.5,0.14,0.08,0.18,0.8
Peridotita,43.9,4.68,12.87,6.42,29.3,0.21,0.07,0.19,0.84
Peridotita,34.81,0.54,11.81,0.06,38.31,0.01,0.0,0.11,0.01
Peridotita,34.8,0.54,12.05,0.09,37.91,0.02,0.0,0.1,0.01
Peridotita,44.49,5.33,14.41,3.5,28.1,0.33,0.53,0.15,0.38
Peridotita,44.04,5.45,11.5,4.63,33.02,0.08,0.11,0.22,0.11
Peridotita,43.4,1.8,7.36,0.975,45.8,0.004,0.0,0.111,0.024
Peridotita,42.76,0.58,8.31,1.68,43.58,0.134,0.433,0.147,0.24
Peridotita,42.43,0.78,7.71,0.94,45.87,0.116,0.082,0.124,0.015
Peridotita,42.72,0.6,6.15,0.29,47.4,0.01,0.03,0.131,0.01
Peridotita,42.9,1.93,7.73,1.46,44.7,0.46,0.02,0.13,0.05
Peridotita,42.3,2.92,7.27,2.49,39.0,0.33,0.01,0.14,0.04
Peridotita,41.2,1.78,6.88,1.56,42.5,0.25,0.02,0.11,0.02
Peridotita,42.2,2.38,6.93,1.48,41.0,0.26,0.01,0.13,0.04
Peridotita,44.3,2.32,7.09,2.1,39.7,0.33,0.01,0.13,0.01
Peridotita,44.6,3.28,7.49,2.09,41.9,0.25,0.0,0.13,0.07
Peridotita,40.28,4.72,11.71,3.02,27.92,0.17,0.08,0.194,0.284
Peridotita,39.28,3.71,12.32,1.58,30.23,0.09,0.08,0.207,0.285
Peridotita,39.24,4.28,12.74,2.34,29.79,0.18,0.06,0.194,0.281
Peridotita,42.99,6.91,11.03,4.33,26.95,0.25,0.067,0.175,0.368
Peridotita,44.77,18.22,9.83,10.4,12.87,1.2,0.075,0.162,0.429
Peridotita,43.36,2.22,7.72,2.27,41.8,0.28,0.01,0.11,0.04
Peridotita,43.77,3.21,8.09,2.64,39.86,0.34,0.0,0.12,0.07
Peridotita,43.2,0.31,6.96,0.04,47.8,0.05,0.05,0.11,0.0
Peridotita,45.08,4.0,12.13,2.97,26.61,0.15,0.05,0.24,0.1
Peridotita,43.22,0.24,9.84,0.42,44.87,0.05,0.0,0.2,0.01
Peridotita,41.08,0.21,7.86,0.2,49.56,0.11,0.0,0.16,0.01
Peridotita,40.36,0.36,12.15,0.58,45.63,0.09,0.0,0.24,0.03
Peridotita,41.04,0.14,8.38,0.57,49.04,0.1,0.0,0.17,0.01
Peridotita,41.45,1.24,9.08,0.89,46.22,0.21,0.03,0.18,0.04
Peridotita,42.01,2.28,8.59,1.67,44.05,0.37,0.08,0.18,0.09
Peridotita,40.07,1.06,8.9,0.08,47.7,0.11,0.01,0.14,0.01
Peridotita,41.56,1.25,8.56,0.89,46.54,0.21,0.03,0.18,0.06
Peridotita,40.91,0.33,9.9,0.26,47.75,0.12,0.01,0.2,0.02
Peridotita,44.21,0.6,8.4,0.66,45.22,0.14,0.02,0.15,0.01
Peridotita,40.36,10.925,16.35,14.548,9.221,1.054,0.091,0.1779,4.282
Peridotita,39.49,3.638,12.27,3.074,32.957,0.265,0.154,0.1798,0.736
Peridotita,43.8,4.23,10.89,4.22,34.8,0.02,0.29,0.18,0.34
Peridotita,44.3,4.03,9.54,3.31,37.1,0.03,0.14,0.17,0.27
Peridotita,43.8,3.14,11.43,3.69,36.1,0.02,0.06,0.18,0.24
Peridotita,39.9,0.92,10.44,0.6,46.5,0.16,0.04,0.18,0.06
Peridotita,39.3,2.48,14.31,1.84,34.4,0.24,0.36,0.2,0.11
Peridotita,39.9,2.5,15.57,1.74,34.3,0.3,0.49,0.2,0.13
Peridotita,39.3,2.44,14.85,1.98,35.3,0.36,0.54,0.2,0.13
Peridotita,45.5,9.4,12.06,9.67,16.4,0.97,0.09,0.21,0.48
Peridotita,45.1413851043637,2.74378921751663,7.88940274639616,2.16880397708116,41.1770131834665,0.151311905377755,0.020174920717034,0.131136984660721,0.0877609051190981
Peridotita,44.2159504759591,2.41104544005344,7.89894803163951,2.35051710264624,41.7141125297949,0.101889367968786,0.0100880562345332,0.131144731048932,0.0524578924195728
Peridotita,45.6106332020205,3.93456026294801,7.99018391860212,3.68234486147699,37.7516012921833,0.263312879135752,0.0201772321176821,0.131152008764934,0.157382410517921
Peridotita,44.938213668374,3.235107332234,8.43499949979052,2.66479953259658,39.6136608593878,0.15532917202455,0.0302818128704156,0.132232280162521,0.111033287945289
Peridotita,44.6566209670997,2.29034183450783,8.07269824576966,2.20962494166174,41.7911712710635,0.141254562480659,0.0,0.131164950874898,0.052465980349959
Peridotita,45.2243570130103,3.49548021396981,7.94427399602658,3.00117067457943,39.1665326311023,0.214764273508936,0.0050440973873058,0.130131868860563,0.111976493134701
Peridotita,44.5631778843916,3.50247400359771,8.40290953312708,3.07854343255707,39.1025483859871,0.208937210012889,0.0100935850247773,0.131216605322104,0.123141737302283
Peridotita,44.6637022644048,2.59794961997519,8.02690724463292,2.17420655829024,41.2435542934011,0.168881497158911,0.0504456255630596,0.131156116882146,0.0751640496546228
Peridotita,45.1629400574246,3.11781690744955,8.10026994595631,2.74448608034394,39.784958142633,0.167494371079814,0.0,0.131170290604674,0.116035257073365
Peridotita,44.6433695594037,2.14843641093221,7.79337773687296,2.04252754292653,42.1116285382988,0.164302601815237,0.0353029148724962,0.122048073128962,0.0822054091540037
Peridotita,44.5761529253118,3.17896494713,8.2743916195298,3.13859713827756,39.691648054166,0.188719506385178,0.0100919522131111,0.131195378770444,0.111011474344222
Peridotita,44.9530186041868,3.58211483826853,8.14603185615263,3.2390390509414,38.9088304686294,0.234098772529098,0.0706332503320555,0.13117603633096,0.130166989897645
Peridotita,44.4378974775058,2.68464245492086,8.33853983554743,2.35158530825775,41.1476965741066,0.157445196604381,0.0100926408079732,0.131204330503651,0.098907879918137
Peridotita,44.7365812331315,3.26880483001991,7.9586326301176,2.90055909390879,39.974365098256,0.221340004744119,0.025221985918043,0.132171676624723,0.118544411475639
Peridotita,44.7683334056244,3.86438397438678,8.08191008742509,3.31953610332441,38.6539295192578,0.233073811510012,0.110987529290482,0.131167080070569,0.136211967765591
Peridotita,44.4983504941358,1.51721833338761,7.27206406035208,1.38112159343963,44.1555938393705,0.0624015761198219,0.0,0.116947650693716,0.0443570530321522
Peridotita,44.9581914398662,3.54057105573099,7.83464825922012,3.12700007771113,39.1782848446131,0.239064199489529,0.0100870970248746,0.13113226132337,0.129114841918395
Peridotita,45.1029918372247,3.85530160703062,8.32018493412577,3.14883272616114,38.4218147067162,0.26139348592171,0.0100924125838498,0.141293776173897,0.141293776173897
Peridotita,45.6424340909041,3.67783084207294,8.10938988135578,3.09260667124532,38.2110972217013,0.254661665944448,0.0100900702278082,0.154379567991019,0.137224935575243
Peridotita,42.5,1.01,9.04,0.6,44.6,0.2,0.043,0.15,0.07
Peridotita,41.8,1.4,13.78,1.19,39.6,0.23,0.097,0.22,0.14
Peridotita,43.9,1.08,9.19,0.65,43.4,0.13,0.0,0.15,0.07
Peridotita,42.9,0.64,8.87,0.5,45.3,0.12,0.0,0.14,0.03
Peridotita,41.1,0.58,9.91,0.79,45.8,0.17,0.0,0.18,0.06
Peridotita,43.8,1.62,8.6,1.53,42.2,0.24,0.093,0.14,0.09
Peridotita,42.2,1.16,9.91,3.01,41.2,0.29,0.052,0.17,0.12
Peridotita,43.3,1.19,8.68,1.0,43.6,0.18,0.037,0.15,0.07
Peridotita,43.3,3.8,8.73,2.9,39.3,0.44,0.2,0.13,0.27
Peridotita,43.8,2.4,8.28,2.1,41.9,0.18,0.12,0.13,0.09
Peridotita,43.8,1.35,8.07,0.89,44.8,0.05,0.09,0.11,0.04
Peridotita,43.9,2.97,8.48,2.4,40.6,0.12,0.11,0.11,0.15
Peridotita,44.3,3.27,8.74,2.84,39.4,0.11,0.1,0.13,0.13
Peridotita,45.3,3.58,8.26,2.42,37.7,0.29,0.11,0.12,0.31
Peridotita,44.9,2.39,8.2,2.79,39.1,0.47,0.06,0.12,0.26
Peridotita,43.7,2.76,8.49,2.18,40.4,0.21,0.08,0.12,0.12
Peridotita,44.1,3.4,8.28,3.3,39.1,0.44,0.11,0.13,0.19
Peridotita,42.7,3.66,9.16,2.19,39.8,0.26,0.09,0.13,0.26
Peridotita,44.4,3.79,7.97,2.18,39.5,0.29,0.07,0.13,0.14
Peridotita,43.9,4.3,8.46,3.6,38.0,0.38,0.12,0.14,0.19
Peridotita,44.0,3.66,8.46,2.88,39.2,0.15,0.12,0.12,0.15
Peridotita,44.1,3.41,8.22,2.73,39.2,0.13,0.2,0.11,0.19
Peridotita,44.0,5.1,8.28,3.7,37.1,0.44,0.15,0.14,0.22
Peridotita,44.5,3.04,8.6,2.64,39.6,0.3,0.1,0.12,0.2
Peridotita,44.86,4.32,8.57,3.77,37.2,0.0,0.03,0.16,0.18
Peridotita,44.73,4.03,8.54,3.25,37.81,0.0,0.06,0.14,0.15
Peridotita,45.27,3.49,8.29,3.29,38.65,0.0,0.06,0.14,0.1
Peridotita,44.24,3.52,8.89,3.41,38.95,0.0,0.01,0.14,0.14
Peridotita,44.42,2.49,9.14,3.64,38.86,0.0,0.08,0.13,0.23
Peridotita,44.8,2.37,8.63,3.52,39.56,0.0,0.06,0.13,0.14
Peridotita,43.51,3.33,9.05,2.81,40.11,0.0,0.03,0.15,0.08
Peridotita,44.59,3.41,8.66,3.08,39.37,0.0,0.02,0.14,0.1
Peridotita,44.49,3.44,9.08,3.72,38.15,0.0,0.03,0.14,0.17
Peridotita,45.23,2.49,8.62,2.92,39.95,0.0,0.01,0.13,0.06
Peridotita,45.0,3.45,8.42,3.67,38.31,0.0,0.03,0.14,0.12
